input1,input2,true_output,fortran_pred,tensorflow_pred
  0.888324,  0.888324,625.946562,630.217192,630.217224
 -0.647575, -0.647575,352.560646,355.363919,355.363922
 -1.621813, -1.621813,362.643645,361.727610,361.727570
 -0.760600, -0.760600,297.526168,297.745533,297.745544
 -0.826474, -0.826474,279.629071,281.723213,281.723206
  0.194916,  0.194916,381.118005,382.548465,382.548462
  0.644938,  0.644938,537.023285,536.259413,536.259583
  0.375202,  0.375202,390.928028,389.122686,389.122681
 -1.361091, -1.361091,423.178399,425.806810,425.806854
 -0.602503, -0.602503,379.858007,382.565844,382.565857
 -0.203100, -0.203100,522.743790,525.896102,525.896118
 -0.158029, -0.158029,514.033136,517.042726,517.042725
  0.940329,  0.940329,624.096017,622.040063,622.040100
  1.705852,  1.705852,578.373186,573.557775,573.557800
 -1.071247, -1.071247,315.989930,319.545891,319.545898
  0.955584,  0.955584,622.379844,619.641439,619.641418
 -1.153069, -1.153069,352.238521,353.526771,353.526794
 -1.567034, -1.567034,389.778458,389.529051,389.529053
  1.664941,  1.664941,553.553815,556.687565,556.687500
 -0.315432, -0.315432,520.421110,522.028632,522.028625
  0.475053,  0.475053,434.090414,435.278794,435.278839
  0.009776,  0.009776,448.957630,452.344600,452.344635
  1.392431,  1.392431,475.073607,464.091450,464.091431
  0.069409,  0.069409,422.210043,426.999797,426.999817
 -0.345249, -0.345249,513.659877,516.380298,516.380310
 -0.922858, -0.922858,275.448376,276.730352,276.730377
 -1.111465, -1.111465,333.376237,336.248358,336.248352
 -0.112264, -0.112264,500.158182,503.539594,503.539581
  1.464546,  1.464546,476.277424,474.052126,474.052094
  0.916060,  0.916060,625.899353,625.856057,625.856079
 -0.940886, -0.940886,277.816583,279.691849,279.691833
 -0.004092, -0.004092,455.408451,458.238740,458.238739
  1.571331,  1.571331,505.661077,518.086235,518.086243
 -1.200221, -1.200221,373.490431,373.108973,373.108948
 -1.007453, -1.007453,292.794839,295.586934,295.586945
  0.312795,  0.312795,376.814937,379.042759,379.042755
  1.384804,  1.384804,475.749209,466.943823,466.943817
 -1.270255, -1.270255,401.097099,402.194302,402.194305
  1.740522,  1.740522,600.003327,587.854564,587.854553
 -0.802898, -0.802898,284.375504,287.457517,287.457489
 -1.714730, -1.714730,307.030143,312.885479,312.885468
  0.875149,  0.875149,625.224325,627.531543,627.531494
 -0.442326, -0.442326,475.179931,478.721542,478.721527
  0.187288,  0.187288,382.711878,383.471272,383.471222
 -1.718197, -1.718197,304.905869,311.063012,311.062988
 -1.435980, -1.435980,424.902035,424.418526,424.418488
  1.279406,  1.279406,500.878673,506.358436,506.358429
 -1.357624, -1.357624,422.589664,425.871082,425.871063
 -1.467183, -1.467183,421.058233,423.840074,423.840088
  0.769751,  0.769751,600.491098,600.579089,600.579041
  1.592133,  1.592133,514.893569,526.664308,526.664307
  1.494362,  1.494362,481.333210,486.347364,486.347412
  0.761430,  0.761430,597.109453,598.397962,598.397949
 -1.044204, -1.044204,305.395228,308.314923,308.314972
  0.273964,  0.273964,373.749851,372.984824,372.984772
  0.730227,  0.730227,583.535778,587.445631,587.445618
  1.283566,  1.283566,499.458818,504.802596,504.802551
  1.453451,  1.453451,475.335494,469.477154,469.477173
  1.216306,  1.216306,526.052133,529.955342,529.955322
 -0.007559, -0.007559,456.710261,459.712275,459.712250
 -1.502547, -1.502547,413.102694,421.453972,421.453979
 -0.608050, -0.608050,376.313082,379.204582,379.204590
  0.398084,  0.398084,398.782440,399.446224,399.446198
 -1.058072, -1.058072,310.725842,314.074394,314.074371
 -0.640641, -0.640641,356.568293,359.457170,359.457214
  0.598479,  0.598479,508.429095,508.377490,508.377380
  0.267030,  0.267030,373.708991,373.823740,373.823700
 -1.497693, -1.497693,414.297862,423.274477,423.274475
 -1.451928, -1.451928,423.378586,424.122873,424.122894
  0.335678,  0.335678,380.533355,382.628730,382.628754
  0.925074,  0.925074,625.663116,624.438688,624.438660
  1.678809,  1.678809,561.667569,562.406280,562.406311
  1.575491,  1.575491,507.636765,519.801850,519.801880
  1.716946,  1.716946,585.060549,578.132748,578.132751
 -0.759213, -0.759213,298.080787,298.082845,298.082855
 -0.266894, -0.266894,525.980764,528.469290,528.469238
  1.226707,  1.226707,521.571494,526.065742,526.065735
 -0.402108, -0.402108,493.862996,495.167666,495.167633
 -1.162083, -1.162083,356.305423,357.270427,357.270416
 -0.373679, -0.373679,504.674045,505.773982,505.773956
 -1.639841, -1.639841,352.342361,352.250779,352.250824
  0.593626,  0.593626,505.469122,505.464453,505.464355
  1.397979,  1.397979,474.809622,462.016997,462.017059
 -1.202301, -1.202301,374.424800,373.972894,373.972870
 -1.309086, -1.309086,412.861042,418.320821,418.320801
  1.511004,  1.511004,485.278390,493.209823,493.209839
 -1.483825, -1.483825,417.616629,423.531566,423.531586
  0.422354,  0.422354,408.580581,410.395430,410.395508
 -1.454008, -1.454008,423.128640,424.084309,424.084320
 -1.578128, -1.578128,384.948169,384.036592,384.036560
  1.535273,  1.535273,492.323489,503.217575,503.217560
  0.592932,  0.592932,504.971647,505.048305,505.048279
  0.863361,  0.863361,623.766950,624.588907,624.588928
  1.553996,  1.553996,498.937253,510.937841,510.937805
 -0.096315, -0.096315,494.493083,498.293649,498.293671
 -1.006760, -1.006760,292.745709,295.370338,295.370331
  0.117948,  0.117948,402.866498,406.370306,406.370300
 -0.558125, -0.558125,407.793019,409.455937,409.455933
  1.163607,  1.163607,549.475084,549.662648,549.662598
  0.315569,  0.315569,377.250114,379.477423,379.477448
 -0.784869, -0.784869,289.639940,291.842573,291.842560
 -0.924244, -0.924244,275.601936,276.958160,276.958160
 -0.767534, -0.767534,295.005625,296.058973,296.058960
 -0.199633, -0.199633,522.204121,525.606487,525.606506
 -0.804978, -0.804978,283.968530,286.951549,286.951569
  0.100612,  0.100612,409.547348,413.737982,413.738007
 -0.423604, -0.423604,484.239352,487.148257,487.148224
  1.468013,  1.468013,476.922577,475.481805,475.481842
 -0.721076, -0.721076,313.942507,315.338116,315.338104
 -1.425578, -1.425578,425.668697,424.611343,424.611359
  0.647711,  0.647711,538.690518,537.924006,537.923950
 -0.709981, -0.709981,319.112783,321.379746,321.379761
  1.282180,  1.282180,499.924946,505.321209,505.321198
 -0.124745, -0.124745,504.401473,507.368782,507.368774
 -1.429739, -1.429739,425.542045,424.534216,424.534210
 -1.325034, -1.325034,416.886058,424.944213,424.944183
  0.218492,  0.218492,377.117089,379.696151,379.696167
 -0.042923, -0.042923,472.589977,474.860907,474.860901
 -1.024789, -1.024789,298.474619,301.001850,301.001801
  0.225426,  0.225426,375.984620,378.857235,378.857269
  1.227400,  1.227400,521.160740,525.806435,525.806396
  1.158753,  1.158753,552.007698,551.477795,551.477783
  0.439689,  0.439689,416.506670,418.216292,418.216370
 -0.232917, -0.232917,525.710072,528.386796,528.386780
  1.240575,  1.240575,515.722477,520.879609,520.879639
  1.706545,  1.706545,578.672279,573.843711,573.843689
  0.368961,  0.368961,389.143374,387.844688,387.844757
 -1.064313, -1.064313,313.161369,316.666156,316.666168
 -1.245292, -1.245292,392.188343,391.827254,391.827301
 -0.433312, -0.433312,479.608596,483.526588,483.526581
  0.045833,  0.045833,432.537684,437.019835,437.019897
  0.567969,  0.567969,489.249040,490.066973,490.066986
 -0.839649, -0.839649,277.214693,278.518748,278.518738
 -1.683526, -1.683526,326.452481,329.287688,329.287689
 -0.157335, -0.157335,513.696011,516.894666,516.894653
 -0.985958, -0.985958,286.775221,288.872439,288.872467
 -1.527509, -1.527509,405.157614,409.095938,409.095856
  0.930622,  0.930622,625.101979,623.566461,623.566467
  0.877923,  0.877923,625.150465,628.223928,628.223999
 -1.243212, -1.243212,391.285223,390.963334,390.963318
 -0.138613, -0.138613,508.986550,511.623436,511.623413
 -0.778629, -0.778629,291.524420,293.360477,293.360474
 -0.051244, -0.051244,476.362858,478.512763,478.512787
 -0.397948, -0.397948,495.509624,496.719810,496.719818
 -1.185659, -1.185659,366.981888,367.061528,367.061554
 -0.539403, -0.539403,419.534435,420.800195,420.800201
  0.269111,  0.269111,373.634811,373.572065,373.572083
  1.734282,  1.734282,596.022723,585.281142,585.281128
 -0.205874, -0.205874,523.170329,526.127795,526.127808
  0.020871,  0.020871,443.860805,447.629288,447.629211
  0.454251,  0.454251,423.532389,425.098672,425.098724
  0.095065,  0.095065,411.589070,416.095638,416.095612
 -1.152376, -1.152376,351.940409,353.238798,353.238831
 -0.927712, -0.927712,275.983230,277.527678,277.527710
  1.323091,  1.323091,487.396389,490.022116,490.022125
 -0.038069, -0.038069,470.491809,472.730658,472.730652
  0.909820,  0.909820,626.012153,626.837312,626.837280
 -1.209929, -1.209929,377.651027,377.140603,377.140594
  0.004922,  0.004922,451.130724,454.407549,454.407532
  1.291194,  1.291194,496.887507,501.950222,501.950256
  1.599760,  1.599760,518.605555,529.809602,529.809631
  1.701691,  1.701691,575.715444,571.842161,571.842224
 -0.279375, -0.279375,525.135655,528.056148,528.056152
  1.556769,  1.556769,500.211480,512.081584,512.081543
  0.886937,  0.886937,625.903662,630.435249,630.435242
  1.685050,  1.685050,565.505605,564.979702,564.979736
  1.725267,  1.725267,590.467366,581.563977,581.563965
  1.508924,  1.508924,484.692642,492.352015,492.352020
 -0.219049, -0.219049,524.558224,527.228334,527.228333
 -0.043616, -0.043616,473.032788,475.165229,475.165253
  0.619975,  0.619975,521.998397,521.278081,521.278137
  1.424328,  1.424328,473.526077,457.467851,457.467865
 -0.812606, -0.812606,282.307632,285.096333,285.096313
 -0.069272, -0.069272,483.730484,486.425118,486.425140
  1.333492,  1.333492,484.570154,486.132516,486.132507
  1.374403,  1.374403,477.096005,470.833423,470.833435
  1.495749,  1.495749,481.777785,486.919236,486.919250
 -0.954061, -0.954061,279.695891,281.856020,281.856018
 -0.964462, -0.964462,282.006072,283.564576,283.564575
  0.599866,  0.599866,509.491281,509.209786,509.209808
  0.374509,  0.374509,390.711383,388.809852,388.809814
  0.504869,  0.504869,450.651477,452.197494,452.197510
  1.104667,  1.104667,576.056963,571.703714,571.703735
  0.655339,  0.655339,543.302584,542.501635,542.501709
  0.219879,  0.219879,376.838616,379.528368,379.528351
 -0.174671, -0.174671,517.896503,520.596177,520.596130
 -0.521374, -0.521374,430.640366,431.724295,431.724304
 -1.558713, -1.558713,393.385326,393.648396,393.648407
 -0.196166, -0.196166,521.905967,525.186050,525.186035
  0.800954,  0.800954,610.905281,608.758315,608.758301
 -0.623305, -0.623305,367.026616,369.961112,369.961090
 -0.825781, -0.825781,279.368942,281.891869,281.891876
 -0.458968, -0.458968,466.703443,468.848401,468.848389
 -0.852823, -0.852823,275.670412,276.920855,276.920837
  1.468706,  1.468706,477.081326,475.767741,475.767761
  1.608775,  1.608775,522.910217,533.526767,533.526733
 -0.581008, -0.581008,393.331932,395.590733,395.590759
 -1.576741, -1.576741,385.480606,384.723149,384.723175
 -0.463128, -0.463128,464.519144,466.380115,466.380127
  0.326663,  0.326663,378.853065,381.216075,381.216034
  0.480600,  0.480600,437.218279,437.993493,437.993500
 -0.618452, -0.618452,370.114154,372.902216,372.902222
  0.680995,  0.680995,558.205433,557.899115,557.899109
 -0.789030, -0.789030,288.280609,290.830637,290.830627
  0.006309,  0.006309,450.446060,453.818135,453.818176
  0.513884,  0.513884,456.135313,457.607420,457.607483
  1.497136,  1.497136,481.913850,487.491107,487.491058
  0.271884,  0.271884,373.648183,373.236499,373.236450
  1.504764,  1.504764,483.669594,490.636401,490.636353
 -0.793884, -0.793884,286.935471,289.650045,289.650055
 -0.854904, -0.854904,275.438622,276.864065,276.864075
 -0.818153, -0.818153,281.250527,283.747085,283.747070
  1.161527,  1.161527,550.709491,550.440568,550.440552
 -1.211315, -1.211315,378.299859,377.716550,377.716522
  1.276632,  1.276632,501.802104,507.395662,507.395660
 -0.845196, -0.845196,276.677355,277.169500,277.169495
  1.334185,  1.334185,484.448124,485.873209,485.873169
 -0.774468, -0.774468,293.010518,294.372413,294.372437
 -0.885414, -0.885414,273.766018,276.031138,276.031128
  0.866828,  0.866828,624.355619,625.454388,625.454407
 -0.226676, -0.226676,525.409637,527.865488,527.865479
  0.111707,  0.111707,405.271059,409.022669,409.022614
  1.666328,  1.666328,554.495915,557.259436,557.259460
  0.129042,  0.129042,398.959651,401.654994,401.654968
 -0.785563, -0.785563,289.193472,291.673917,291.673920
  0.797487,  0.797487,609.871140,607.849512,607.849609
 -1.170404, -1.170404,360.225985,360.726110,360.726105
  1.125469,  1.125469,566.993508,563.924514,563.924500
 -1.008840, -1.008840,293.292967,296.020127,296.020142
  0.026418,  0.026418,441.393471,445.271632,445.271606
 -0.908990, -0.908990,274.460819,275.387514,275.387512
 -0.006866, -0.006866,456.616893,459.417568,459.417572
 -0.724543, -0.724543,312.208727,313.450106,313.450134
  0.021564,  0.021564,443.573296,447.334581,447.334595
 -0.371598, -0.371598,505.580861,506.550054,506.550049
 -0.961689, -0.961689,281.255590,283.108962,283.108978
  1.341813,  1.341813,482.777212,483.020836,483.020813
  0.147764,  0.147764,392.975324,393.697905,393.697906
 -0.338315, -0.338315,515.513179,517.684554,517.684509
  0.149844,  0.149844,392.279365,392.813784,392.813751
 -1.656483, -1.656483,342.849788,343.502935,343.502930
  0.159552,  0.159552,389.547864,388.687886,388.687897
  0.208784,  0.208784,378.544427,380.870633,380.870636
  0.818983,  0.818983,615.832487,613.484090,613.484131
  1.273859,  1.273859,502.903750,508.432889,508.432922
 -1.423498, -1.423498,425.838004,424.649906,424.649872
 -0.503346, -0.503346,441.489933,442.520023,442.520020
  0.766977,  0.766977,599.196178,599.852047,599.852051
  0.866135,  0.866135,624.344313,625.281292,625.281250
 -0.456888, -0.456888,467.817080,470.082543,470.082520
  0.224039,  0.224039,376.215135,379.025018,379.025024
 -0.931872, -0.931872,276.456441,278.211101,278.211121
  0.645631,  0.645631,537.601256,536.675561,536.675598
  0.490308,  0.490308,442.426737,443.458384,443.458344
 -1.383281, -1.383281,425.414030,425.395466,425.395477
  0.222652,  0.222652,376.643411,379.192801,379.192749
 -0.522068, -0.522068,430.151895,431.304138,431.304138
  1.316850,  1.316850,489.092009,492.355876,492.355865
  1.144885,  1.144885,558.267497,556.663928,556.663879
  1.253056,  1.253056,510.700143,516.212089,516.212097
  0.402938,  0.402938,400.752707,401.636065,401.636047
  1.267618,  1.267618,505.124800,510.766649,510.766602
  1.563010,  1.563010,502.379668,514.655006,514.655090
 -1.641228, -1.641228,351.649883,351.521792,351.521759
  0.924381,  0.924381,625.489747,624.547716,624.547729
 -0.277988, -0.277988,525.300808,528.186303,528.186279
 -1.496306, -1.496306,414.729491,423.300186,423.300140
 -1.304925, -1.304925,411.542822,416.592980,416.592987
 -0.769615, -0.769615,294.401949,295.553005,295.553009
 -1.394375, -1.394375,426.061196,425.189795,425.189789
  0.640777,  0.640777,534.711794,533.762525,533.762512
 -0.083834, -0.083834,489.523374,492.815866,492.815887
  1.074851,  1.074851,588.487091,582.853901,582.853821
 -0.271054, -0.271054,525.622870,528.455444,528.455444
 -0.151095, -0.151095,512.158332,515.452624,515.452637
  0.842559,  0.842559,620.886240,619.396020,619.396057
 -1.268175, -1.268175,400.297307,401.330382,401.330414
  0.174807,  0.174807,385.509072,384.981320,384.981293
 -0.864611, -0.864611,274.637339,276.599043,276.599060
  0.401552,  0.401552,399.987983,401.010396,401.010406
  1.413234,  1.413234,473.894492,456.312250,456.312317
 -0.818846, -0.818846,280.963569,283.578429,283.578430
  0.036126,  0.036126,436.734046,441.145733,441.145752
  0.763510,  0.763510,597.891426,598.943244,598.943237
 -0.875706, -0.875706,273.975070,276.296160,276.296173
  0.436222,  0.436222,414.630280,416.652120,416.652069
  0.787086,  0.787086,606.631105,605.123103,605.123108
 -0.063032, -0.063032,481.201866,483.686226,483.686249
 -0.890961, -0.890961,273.803952,275.879697,275.879700
 -0.646881, -0.646881,353.068411,355.741520,355.741516
 -1.540684, -1.540684,400.723398,402.573642,402.573669
 -1.322954, -1.322954,416.230488,424.080293,424.080261
 -0.541483, -0.541483,418.270157,419.539722,419.539734
 -0.847276, -0.847276,276.364850,277.072296,277.072266
  1.505457,  1.505457,484.069941,490.922337,490.922363
  0.086744,  0.086744,414.897117,419.632122,419.632111
 -0.471449, -0.471449,459.790013,461.443544,461.443542
 -0.251639, -0.251639,526.301313,528.520058,528.520020
 -0.886800, -0.886800,273.881483,275.993278,275.993286
 -1.717503, -1.717503,305.338731,311.427505,311.427521
 -1.365252, -1.365252,423.774631,425.729683,425.729706
 -1.159310, -1.159310,355.025752,356.118533,356.118500
 -1.442220, -1.442220,424.547910,424.302835,424.302795
 -0.558819, -0.558819,407.292378,409.035779,409.035767
  0.319036,  0.319036,377.692431,380.020751,380.020721
  0.978467,  0.978467,618.389427,616.043502,616.043518
 -0.037376, -0.037376,470.110673,472.426337,472.426331
  1.017991,  1.017991,608.289152,604.117047,604.117065
  1.671875,  1.671875,557.658041,559.546922,559.546936
  1.605308,  1.605308,521.272745,532.097088,532.097107
 -0.504733, -0.504733,440.581946,441.697261,441.697266
  0.909126,  0.909126,626.312892,626.946340,626.946350
  0.676141,  0.676141,555.375137,554.986078,554.986084
 -1.290364, -1.290364,407.520745,410.545535,410.545532
 -0.725236, -0.725236,312.111753,313.072504,313.072510
  1.483961,  1.483961,479.228508,482.058328,482.058350
 -0.225983, -0.225983,525.487607,527.807565,527.807556
 -1.042817, -1.042817,304.998916,307.738976,307.738983
 -1.184272, -1.184272,366.388540,366.485581,366.485565
 -1.263321, -1.263321,398.849163,399.314567,399.314575
 -0.406962, -0.406962,491.571073,493.356832,493.356873
 -0.135840, -0.135840,507.899963,510.772505,510.772522
  0.681688,  0.681688,558.369714,558.315263,558.315247
  1.530420,  1.530420,490.752558,501.216025,501.216003
  1.436116,  1.436116,474.093782,462.328759,462.328735
  1.697531,  1.697531,573.158064,570.126546,570.126587
 -1.526816, -1.526816,405.700608,409.439217,409.439209
 -0.169123, -0.169123,516.632503,519.411693,519.411682
  0.386990,  0.386990,394.707198,394.440872,394.440826
  0.152618,  0.152618,391.449435,391.634956,391.635010
  0.766284,  0.766284,599.074864,599.670286,599.670288
 -0.879866, -0.879866,273.992824,276.182580,276.182556
  1.739829,  1.739829,599.762451,587.568628,587.568665
 -0.173977, -0.173977,517.774176,520.448116,520.448120
  0.515964,  0.515964,457.587665,458.855864,458.855927
  1.108828,  1.108828,574.343638,570.147874,570.147888
  0.048607,  0.048607,431.411188,435.841007,435.841003
  0.746175,  0.746175,590.752430,594.399229,594.399170
 -1.648856, -1.648856,347.133303,347.512363,347.512329
 -0.324447, -0.324447,518.629360,520.308193,520.308167
 -1.585062, -1.585062,381.411090,380.603804,380.603790
 -1.320874, -1.320874,415.716096,423.216372,423.216370
  0.231667,  0.231667,375.524230,378.102211,378.102234
  0.389070,  0.389070,395.593754,395.379376,395.379395
 -0.662136, -0.662136,344.146080,347.434278,347.434296
  1.401446,  1.401446,474.355757,460.720463,460.720490
 -1.431819, -1.431819,425.380003,424.495653,424.495667
 -0.570606, -0.570606,399.851778,401.893098,401.893127
 -0.963769, -0.963769,281.632528,283.450673,283.450684
 -0.750893, -0.750893,301.288214,300.106717,300.106720
 -0.605277, -0.605277,378.204929,380.885213,380.885193
 -0.638560, -0.638560,358.027989,360.717643,360.717651
 -0.495718, -0.495718,446.027692,447.045213,447.045197
 -1.664804, -1.664804,337.884431,339.129012,339.128998
  0.604027,  0.604027,511.842275,511.706674,511.706665
  0.822450,  0.822450,616.783478,614.376229,614.376221
 -0.474223, -0.474223,458.320977,459.798021,459.798004
 -0.222516, -0.222516,524.959181,527.517949,527.517944
 -0.639254, -0.639254,357.444608,360.297485,360.297485
  1.364002,  1.364002,478.684377,474.723023,474.722992
 -0.419444, -0.419444,486.449929,488.700401,488.700378
  1.622643,  1.622643,529.805519,539.245482,539.245483
 -0.190619, -0.190619,520.868083,524.001567,524.001587
 -1.537217, -1.537217,401.795033,404.290036,404.290039
 -1.071940, -1.071940,316.551262,319.833865,319.833893
  0.576984,  0.576984,494.976614,495.476898,495.476898
  1.384111,  1.384111,475.772004,467.203130,467.203125
  0.019484,  0.019484,444.579629,448.218702,448.218689
  1.474947,  1.474947,478.056448,478.341163,478.341187
  1.412540,  1.412540,473.757366,456.571557,456.571503
 -1.291751, -1.291751,408.020176,411.121483,411.121490
  1.214919,  1.214919,526.685125,530.473955,530.473938
  0.031272,  0.031272,439.176363,443.208683,443.208679
 -1.696701, -1.696701,318.294797,322.362311,322.362305
 -0.340395, -0.340395,515.036186,517.306519,517.306519
 -0.554658, -0.554658,409.974215,411.556725,411.556732
  0.492388,  0.492388,443.655618,444.706828,444.706818
 -0.925631, -0.925631,275.784431,277.185967,277.185974
 -0.595569, -0.595569,384.079976,386.767421,386.767426
 -1.508787, -1.508787,411.350951,418.364463,418.364471
  0.601946,  0.601946,510.643499,510.458230,510.458282
 -1.180112, -1.180112,364.415623,364.757740,364.757751
  1.112295,  1.112295,572.923926,568.851341,568.851318
  1.600454,  1.600454,518.881112,530.095538,530.095581
 -0.929792, -0.929792,276.090118,277.869390,277.869385
 -1.228651, -1.228651,385.424046,384.915889,384.915894
  0.397391,  0.397391,398.563037,399.133389,399.133392
  1.712093,  1.712093,582.267736,576.131197,576.131165
  1.157366,  1.157366,552.516408,551.996408,551.996399
 -0.783483, -0.783483,289.977513,292.179885,292.179901
 -0.035296, -0.035296,469.427490,471.513373,471.513336
 -1.255693, -1.255693,395.807379,396.146858,396.146851
 -0.198246, -0.198246,522.123720,525.490640,525.490601
 -1.193980, -1.193980,370.931997,370.517211,370.517212
 -1.559406, -1.559406,393.015328,393.305117,393.305115
  0.558262,  0.558262,483.200864,484.240899,484.240967
  1.422941,  1.422941,473.764570,456.895979,456.895996
  1.651073,  1.651073,545.649954,550.968849,550.968872
  0.531219,  0.531219,466.531741,468.011122,468.011108
  0.565889,  0.565889,487.738705,488.818528,488.818542
  1.206598,  1.206598,530.125521,533.585635,533.585571
  0.131816,  0.131816,398.236691,400.476166,400.476196
  1.235721,  1.235721,517.795327,522.694755,522.694763
 -0.787643, -0.787643,288.710621,291.167949,291.167969
  1.169154,  1.169154,547.162790,547.588195,547.588196
  1.221160,  1.221160,523.740888,528.140195,528.140259
 -0.692646, -0.692646,327.735921,330.819794,330.819763
  0.080504,  0.080504,417.513631,422.284485,422.284454
  0.129736,  0.129736,398.722976,401.360287,401.360291
 -1.233504, -1.233504,387.544412,386.931704,386.931732
 -0.877093, -0.877093,273.911263,276.258300,276.258301
  1.375096,  1.375096,477.010414,470.574116,470.574188
 -0.383386, -0.383386,501.175794,502.152314,502.152313
  1.485348,  1.485348,479.509919,482.630199,482.630188
